DateAdded,IoC,Type
8/25/2022,91.121.240.104,ip
8/25/2022,164.132.237.64,ip
8/25/2022,e81a8f8ad804c4d83869d7806a303ff04f31cce376c5df8aada2e9db2c1eeb98,sha256
8/25/2022,416e937fb467b7092b9f038c1f1ea5ca831dd19ed478cca444a656b5d9440bb4,sha256
8/25/2022,25325dc4b8dcf3711e628d08854e97c49cfb904c08f6129ed1d432c6bfff576b,sha256
8/25/2022,3c2fe308c0a563e06263bbacf793bbe9b2259d795fcc36b953793a7e499e7f71,sha256
8/25/2022,3137413d086b188cd25ad5c6906fbb396554f36b41d5cff5a2176c28dd29fb0a,sha256
8/25/2022,87f317bbba0f50d033543e6ebab31665a74c206780798cef277781dfdd4c3f2f,sha256
8/25/2022,e4ca146095414dbe44d9ba2d702fd30d27214af5a0378351109d5f91bb69cdb6,sha256
8/25/2022,d2e2a0033157ff02d3668ef5cc56cb68c5540b97a359818c67bd3e37691b38c6,sha256
8/25/2022,3ca1778cd4c215f0f3bcfdd91186da116495f2d9c30ec22078eb4061ae4b5b1b,sha256
8/25/2022,bbfee9ef90814bf41e499d9608647a29d7451183e7fe25f472c56db9133f7e40,sha256
8/25/2022,b8206d45050df5f886afefa25f384bd517d5869ca37e08eba3500cda03bddfef,sha256
8/25/2022,sygateway.com,domainname
